Gene  Rule 
g431    ( g874 or g1359 )
g432    ( g1415 )
g433    ( g42 or g515 or g868 or g1279 or g1460 or g1473 )
g434    ( g538 or g692 or g792 or g807 or g893 or g1213 or g1252 or g1280 or g1341 )
g435    ( g45 or g78 or g81 or g83 or g91 or g120 or g122 or g161 or g218 or g227 or g245 or g246 or g253 or g262 or g266 or g302 or g387 or g456 or g477 or g486 or g493 or g540 or g546 or g558 or g604 or g662 or g666 or g688 or g694 or g718 or g764 or g765 or g776 or g795 or g873 or g876 or g903 or g924 or g966 or g981 or g998 or g1025 or g1106 or g1130 or g1184 or g1221 or g1279 or g1307 or g1318 or g1320 or g1321 or g1360 or g1375 or g1382 or g1389 or g1393 or g1403 or g1408 or g1414 )
g436    ( g226 or g278 or g354 or g366 or g526 or g636 or g814 or g914 or g1089 or g1134 or g1206 )
g437    ( g228 or g329 or g406 or g580 or g656 or g749 or g901 or g1155 or g1255 )
g438    ( g3 or g21 or g25 or g26 or g38 or g47 or g66 or g82 or g117 or g118 or g121 or g129 or g137 or g140 or g142 or g144 or g152 or g154 or g176 or g230 or g240 or g256 or g268 or g274 or g287 or g298 or g301 or g317 or g341 or g367 or g385 or g408 or g445 or g448 or g467 or g481 or g503 or g525 or g531 or g533 or g539 or g541 or g555 or g559 or g581 or g582 or g605 or g624 or g632 or g633 or g654 or g662 or g676 or g679 or g682 or g699 or g709 or g727 or g732 or g737 or g751 or g754 or g755 or g767 or g786 or g802 or g804 or g817 or g837 or g851 or g852 or g872 or g874 or g875 or g876 or g891 or g894 or g914 or g916 or g920 or g934 or g935 or g939 or g960 or g965 or g972 or g976 or g1013 or g1014 or g1020 or g1024 or g1027 or g1040 or g1041 or g1042 or g1059 or g1080 or g1087 or g1103 or g1112 or g1114 or g1123 or g1126 or g1128 or g1180 or g1205 or g1213 or g1217 or g1221 or g1222 or g1231 or g1240 or g1251 or g1261 or g1269 or g1273 or g1277 or g1294 or g1300 or g1319 or g1327 or g1340 or g1345 or g1351 or g1358 or g1365 or g1369 or g1375 or g1381 or g1393 or g1407 or g1412 or g1414 or g1416 or g1418 or g1419 or g1426 or g1432 or g1448 or g1452 or g1460 or g1462 or g1468 or g1470 or g1475 or g1478 or g1488 )
g439    ( g239 or g799 or g922 or g1223 or g1492 )
g440    ( g251 or g334 or g1167 or g1276 )
g441    ( g74 or g333 or g1272 )
g442    ( g542 or g917 or g1002 or g1028 or g1119 )
g443    ( g89 or g194 or g209 or g347 or g355 or g657 or g762 or g919 or g936 or g945 or g953 or g1051 or g1054 or g1156 or g1164 or g1171 or g1243 or g1288 or g1292 or g1299 or g1312 or g1321 or g1469 or g1482 )
g444    ( g79 or g174 or g206 or g215 or g757 or g853 or g971 or g1458 or g1473 )
g445    ( g184 or g668 or g913 or g1314 )
g446    ( g59 or g68 or g415 or g526 or g1245 )
g447    ( g183 or g339 or g814 or g1001 or g1402 )
g448    ( g17 or g174 or g218 or g239 or g361 or g364 or g435 or g657 or g758 or g907 or g1141 or g1264 or g1431 or g1488 )
g449    ( g426 or g575 or g943 or g1348 )
g450    ( g10 or g12 or g14 or g16 or g17 or g22 or g30 or g43 or g52 or g57 or g63 or g64 or g66 or g67 or g69 or g70 or g72 or g73 or g75 or g88 or g91 or g92 or g94 or g95 or g96 or g97 or g99 or g100 or g101 or g106 or g112 or g118 or g119 or g124 or g125 or g126 or g127 or g129 or g132 or g133 or g137 or g140 or g144 or g146 or g150 or g153 or g159 or g165 or g177 or g180 or g184 or g190 or g201 or g214 or g222 or g224 or g232 or g235 or g236 or g238 or g239 or g242 or g247 or g249 or g250 or g252 or g263 or g265 or g269 or g273 or g276 or g280 or g284 or g285 or g290 or g292 or g298 or g304 or g308 or g309 or g320 or g325 or g330 or g335 or g349 or g371 or g375 or g379 or g382 or g385 or g389 or g392 or g395 or g398 or g400 or g402 or g410 or g412 or g416 or g417 or g418 or g422 or g424 or g425 or g426 or g429 or g437 or g446 or g447 or g451 or g458 or g461 or g467 or g469 or g470 or g472 or g475 or g477 or g480 or g496 or g504 or g506 or g509 or g512 or g524 or g526 or g527 or g534 or g535 or g537 or g539 or g546 or g549 or g550 or g556 or g566 or g567 or g570 or g575 or g581 or g591 or g598 or g599 or g603 or g607 or g609 or g611 or g615 or g617 or g620 or g629 or g632 or g636 or g639 or g641 or g642 or g652 or g659 or g666 or g669 or g673 or g677 or g680 or g681 or g682 or g689 or g694 or g695 or g698 or g699 or g701 or g705 or g706 or g710 or g715 or g718 or g722 or g725 or g741 or g752 or g755 or g759 or g770 or g776 or g780 or g789 or g790 or g792 or g801 or g806 or g810 or g817 or g820 or g823 or g824 or g836 or g864 or g865 or g868 or g872 or g873 or g877 or g881 or g882 or g885 or g886 or g888 or g894 or g898 or g902 or g903 or g904 or g918 or g919 or g921 or g926 or g935 or g940 or g944 or g945 or g949 or g951 or g955 or g961 or g964 or g965 or g966 or g971 or g973 or g985 or g986 or g988 or g994 or g997 or g999 or g1006 or g1010 or g1020 or g1022 or g1023 or g1025 or g1036 or g1039 or g1043 or g1045 or g1048 or g1052 or g1054 or g1058 or g1065 or g1071 or g1072 or g1073 or g1076 or g1080 or g1083 or g1084 or g1087 or g1091 or g1095 or g1098 or g1099 or g1102 or g1103 or g1121 or g1122 or g1124 or g1127 or g1128 or g1130 or g1140 or g1148 or g1157 or g1162 or g1164 or g1168 or g1173 or g1181 or g1184 or g1186 or g1188 or g1189 or g1190 or g1192 or g1194 or g1207 or g1209 or g1210 or g1218 or g1219 or g1224 or g1226 or g1227 or g1239 or g1245 or g1247 or g1248 or g1261 or g1263 or g1267 or g1268 or g1276 or g1280 or g1289 or g1291 or g1293 or g1294 or g1295 or g1296 or g1303 or g1306 or g1307 or g1310 or g1311 or g1313 or g1316 or g1317 or g1320 or g1322 or g1323 or g1327 or g1330 or g1334 or g1336 or g1338 or g1341 or g1347 or g1351 or g1352 or g1354 or g1359 or g1370 or g1380 or g1381 or g1383 or g1388 or g1391 or g1393 or g1394 or g1396 or g1400 or g1401 or g1402 or g1403 or g1412 or g1413 or g1418 or g1420 or g1421 or g1423 or g1424 or g1431 or g1434 or g1442 or g1443 or g1445 or g1446 or g1447 or g1448 or g1452 or g1453 or g1456 or g1460 or g1462 or g1464 or g1468 or g1469 or g1470 or g1471 or g1473 or g1474 or g1475 or g1476 or g1477 or g1478 or g1480 or g1483 or g1484 or g1489 or g1490 or g1491 or g1492 or g1493 or g1494 or g1497 or g1499 or g1500 )
g451    ( g80 or g217 or g319 or g417 or g452 or g559 or g719 or g784 or g923 or g955 or g1000 or g1062 or g1180 or g1193 or g1241 or g1278 or g1303 or g1364 or g1484 or g1488 )
g452    ( g441 or g556 or g949 or g1035 or g1040 or g1116 or g1136 or g1161 or g1171 or g1268 or g1388 or g1394 or g1478 )
g453    ( g219 or g341 or g434 or g439 or g658 or g703 or g949 or g993 or g1042 or g1162 )
g454    ( g507 or g653 or g850 or g861 or g1022 or g1026 or g1175 or g1338 or g1493 )
g455    ( g728 )
g456    ( g7 or g23 or g69 or g70 or g174 or g410 or g584 or g631 or g644 or g870 or g950 or g999 or g1187 or g1224 or g1240 or g1303 or g1430 or g1444 or g1453 )
g457    ( g218 or g656 or g689 or g708 or g795 or g854 or g915 or g1005 or g1207 or g1315 )
g458    ( g23 or g87 or g206 or g230 or g393 or g432 or g543 or g790 or g791 or g849 or g914 or g922 or g956 or g1114 or g1335 or g1447 or g1461 or g1494 )
g459    ( g315 or g322 or g542 or g552 or g637 or g754 or g931 or g1403 or g1467 )
g460    ( g670 or g906 or g1106 or g1453 or g1492 )
g461    ( g35 or g41 or g69 or g89 or g95 or g103 or g187 or g189 or g236 or g383 or g396 or g412 or g505 or g644 or g646 or g651 or g656 or g674 or g787 or g878 or g989 or g1025 or g1132 or g1259 or g1280 or g1437 or g1444 or g1446 )
g462    ( g205 or g374 or g782 or g1089 or g1347 or g1368 or g1468 )
g463    ( g451 or g662 or g1126 or g1370 )
g464    ( g237 or g505 or g1266 or g1303 or g1404 )
g465    ( g245 or g316 or g329 or g478 or g496 or g500 or g571 or g575 or g785 or g921 or g946 or g951 or g985 or g1027 or g1060 or g1100 or g1206 or g1236 or g1254 or g1337 or g1423 or g1435 or g1443 or g1498 )
g466    ( g24 or g48 or g54 or g67 or g68 or g93 or g121 or g172 or g200 or g226 or g255 or g274 or g311 or g319 or g337 or g375 or g390 or g451 or g549 or g614 or g646 or g652 or g717 or g733 or g765 or g773 or g778 or g806 or g818 or g826 or g831 or g878 or g884 or g900 or g933 or g987 or g988 or g1028 or g1029 or g1090 or g1097 or g1139 or g1189 or g1215 or g1229 or g1287 or g1294 or g1325 or g1326 or g1362 or g1385 or g1419 or g1443 or g1444 or g1454 or g1498 )
g467    ( g181 or g537 or g621 )
g468    ( g165 or g281 or g759 or g777 or g784 or g789 or g861 or g868 )
g469    ( g112 or g441 or g704 or g834 or g957 or g1334 or g1388 or g1416 or g1493 )
g470    ( g19 or g51 or g134 or g175 or g220 or g267 or g281 or g359 or g474 or g547 or g575 or g577 or g599 or g610 or g640 or g666 or g770 or g1024 or g1050 or g1058 or g1139 or g1148 or g1262 or g1289 or g1397 or g1441 or g1465 or g1495 )
g471    ( g425 or g432 or g664 or g795 or g863 or g1099 or g1280 or g1326 or g1479 )
g472    ( g303 or g389 or g460 or g502 or g975 or g996 or g1127 or g1230 or g1390 or g1417 )
g473    ( g23 or g114 or g138 or g222 or g401 or g423 or g435 or g455 or g541 or g668 or g718 or g817 or g821 or g829 or g866 or g1070 or g1078 or g1105 or g1172 or g1184 or g1198 or g1203 or g1229 or g1236 or g1247 or g1257 or g1261 or g1269 or g1271 or g1316 or g1332 or g1419 or g1491 )
g474    ( g87 or g291 or g334 or g621 or g671 or g683 or g700 or g782 or g848 or g933 or g956 or g993 or g1079 or g1162 or g1165 or g1226 or g1291 or g1403 )
g475    ( g157 or g323 or g607 or g919 or g991 or g1037 or g1179 or g1480 )
g476    ( g218 or g231 or g438 or g484 or g519 or g577 or g622 or g720 or g868 or g979 or g1011 or g1178 or g1240 or g1275 or g1297 or g1310 or g1319 or g1340 or g1374 or g1421 or g1438 or g1493 )
g477    ( g154 or g315 or g830 or g1206 or g1406 or g1431 or g1449 or g1467 or g1499 )
g478    ( g301 or g469 or g795 or g1011 or g1286 or g1394 )
g479    ( g52 or g74 or g181 or g246 or g635 or g769 or g868 or g870 or g937 or g1007 or g1173 or g1197 or g1237 or g1377 )
g480    ( g51 or g408 or g493 or g516 or g518 or g542 or g584 or g629 or g677 or g771 or g777 or g969 or g1035 or g1117 or g1131 or g1255 or g1328 or g1427 or g1445 or g1472 or g1482 )
g481    ( g10 or g329 or g361 or g451 )
g482    ( g20 or g29 or g37 or g43 or g45 or g46 or g57 or g60 or g65 or g67 or g88 or g91 or g95 or g139 or g140 or g149 or g160 or g177 or g200 or g202 or g209 or g218 or g225 or g229 or g231 or g233 or g254 or g263 or g267 or g270 or g291 or g292 or g355 or g364 or g366 or g373 or g376 or g399 or g410 or g430 or g450 or g455 or g481 or g496 or g499 or g519 or g546 or g553 or g557 or g565 or g567 or g575 or g579 or g581 or g584 or g595 or g598 or g604 or g618 or g622 or g631 or g652 or g680 or g696 or g724 or g741 or g749 or g758 or g763 or g766 or g783 or g789 or g794 or g800 or g812 or g822 or g823 or g864 or g881 or g883 or g889 or g892 or g894 or g899 or g957 or g963 or g999 or g1000 or g1020 or g1027 or g1040 or g1052 or g1055 or g1059 or g1073 or g1084 or g1106 or g1108 or g1116 or g1125 or g1137 or g1143 or g1144 or g1157 or g1161 or g1182 or g1201 or g1202 or g1209 or g1234 or g1252 or g1263 or g1281 or g1299 or g1308 or g1313 or g1314 or g1316 or g1329 or g1334 or g1342 or g1344 or g1358 or g1365 or g1369 or g1370 or g1381 or g1382 or g1389 or g1399 or g1406 or g1409 or g1431 or g1439 or g1445 or g1446 or g1451 or g1470 or g1488 or g1492 )
g483    ( g243 or g833 or g1366 or g1477 )
g484    ( g701 or g777 or g1163 or g1443 or g1453 )
g485    ( g353 or g1432 or g1487 )
g486    ( g124 or g139 or g727 or g1088 or g1339 )
g487    ( g1 or g87 or g384 or g776 or g930 or g1255 )
g488    ( g83 or g786 or g1074 or g1096 or g1187 or g1398 )
g489    ( g191 or g651 or g993 or g1095 or g1210 )
g490    ( g117 or g596 or g917 or g955 or g963 or g1055 or g1129 or g1131 )
g491    ( g6 or g885 or g1046 or g1129 or g1272 or g1280 or g1378 )
g492    ( g300 or g493 or g640 or g862 )
g493    ( g16 or g37 or g73 or g83 or g118 or g119 or g132 or g137 or g139 or g145 or g157 or g171 or g173 or g182 or g199 or g213 or g220 or g225 or g243 or g247 or g262 or g306 or g327 or g336 or g363 or g366 or g370 or g375 or g381 or g383 or g407 or g428 or g437 or g450 or g455 or g469 or g478 or g498 or g507 or g513 or g519 or g521 or g532 or g534 or g538 or g549 or g552 or g553 or g575 or g579 or g589 or g599 or g603 or g617 or g624 or g638 or g645 or g667 or g669 or g684 or g697 or g704 or g705 or g707 or g709 or g710 or g716 or g717 or g721 or g753 or g759 or g764 or g767 or g768 or g779 or g796 or g801 or g802 or g815 or g830 or g835 or g841 or g873 or g887 or g901 or g911 or g914 or g928 or g931 or g940 or g942 or g945 or g958 or g960 or g981 or g983 or g991 or g995 or g998 or g1013 or g1022 or g1028 or g1032 or g1043 or g1064 or g1072 or g1083 or g1095 or g1103 or g1113 or g1121 or g1125 or g1134 or g1135 or g1142 or g1146 or g1154 or g1157 or g1161 or g1165 or g1166 or g1171 or g1172 or g1186 or g1187 or g1200 or g1202 or g1203 or g1206 or g1209 or g1213 or g1220 or g1230 or g1231 or g1255 or g1271 or g1275 or g1290 or g1301 or g1303 or g1320 or g1322 or g1328 or g1330 or g1344 or g1348 or g1360 or g1366 or g1369 or g1373 or g1394 or g1397 or g1399 or g1407 or g1411 or g1414 or g1419 or g1420 or g1432 or g1441 or g1445 or g1462 or g1465 or g1473 or g1474 or g1476 or g1477 or g1484 or g1486 or g1488 or g1490 or g1498 )
g494    ( g318 or g522 or g609 or g1122 )
g495    ( g30 or g123 or g139 or g197 or g263 or g313 or g324 or g346 or g385 or g418 or g447 or g450 or g465 or g542 or g544 or g584 or g594 or g602 or g619 or g629 or g649 or g702 or g759 or g951 or g956 or g962 or g964 or g966 or g980 or g987 or g1025 or g1026 or g1110 or g1119 or g1128 or g1142 or g1155 or g1180 or g1229 or g1305 or g1342 or g1357 or g1361 or g1369 or g1387 or g1396 or g1402 or g1417 or g1454 or g1460 or g1480 or g1482 or g1499 )
g496    ( g218 or g230 or g328 or g480 or g681 or g753 or g841 or g1108 or g1198 or g1266 or g1379 or g1447 or g1455 )
g497    ( g1331 )
g498    ( g68 or g335 or g545 or g658 or g748 or g1079 or g1153 or g1302 )
g499    ( g69 or g282 or g295 or g533 or g822 or g840 or g851 or g1266 or g1326 or g1367 )
g500    ( g71 or g308 or g763 or g1199 or g1375 )
g501    ( g26 or g39 or g44 or g82 or g130 or g133 or g157 or g196 or g267 or g276 or g294 or g361 or g367 or g368 or g386 or g406 or g410 or g451 or g476 or g519 or g562 or g566 or g582 or g621 or g639 or g718 or g805 or g856 or g891 or g898 or g915 or g957 or g980 or g985 or g1011 or g1014 or g1039 or g1231 or g1251 or g1269 or g1279 or g1305 or g1312 or g1336 or g1388 or g1409 or g1425 or g1445 or g1447 or g1463 or g1481 or g1489 )
g502    ( g46 or g758 or g811 or g833 or g938 or g1079 or g1279 or g1342 or g1420 )
g503    ( g723 or g1102 )
g504    ( g11 or g375 or g505 or g638 or g816 or g1176 or g1334 )
g505    ( g93 or g242 or g425 or g1203 or g1304 or g1381 or g1416 or g1437 or g1445 or g1497 )
g506    ( g9 or g127 or g141 or g326 or g404 or g496 or g571 or g572 or g578 or g652 or g773 or g842 or g869 or g874 or g913 or g1092 or g1295 or g1366 or g1394 or g1411 or g1462 or g1496 )
g507    ( g3 or g48 or g201 or g278 or g358 or g380 or g400 or g486 or g647 or g699 or g833 or g1113 or g1306 or g1470 )
g508    ( g468 or g1151 or g1300 or g1477 )
g509    ( g114 or g165 or g214 or g224 or g497 or g732 or g774 or g820 or g876 or g940 or g941 or g1100 or g1158 or g1188 or g1488 )
g510    ( g115 or g766 or g840 or g946 or g1477 )
g511    ( g83 or g118 or g142 or g145 or g146 or g192 or g204 or g253 or g294 or g342 or g352 or g362 or g385 or g405 or g525 or g559 or g583 or g739 or g765 or g773 or g777 or g788 or g808 or g868 or g910 or g945 or g1046 or g1061 or g1085 or g1090 or g1109 or g1205 or g1311 or g1343 or g1346 or g1372 or g1380 or g1386 or g1436 or g1452 or g1499 )
g512    ( g582 or g715 or g862 or g1076 or g1216 or g1256 )
g513    ( g91 or g137 or g179 or g199 or g206 or g223 or g363 or g488 or g587 or g637 or g847 or g868 or g986 or g1035 or g1056 or g1062 or g1082 or g1204 or g1211 or g1360 or g1363 or g1427 or g1477 )
g514    ( g84 or g109 or g173 or g247 or g369 or g421 or g871 or g923 or g1040 or g1085 or g1099 or g1272 )
g515    ( g439 or g1105 or g1395 or g1493 )
g516    ( g38 or g302 or g400 or g450 or g500 or g1222 or g1250 )
g517    ( g21 or g66 or g75 or g88 or g129 or g147 or g183 or g198 or g202 or g267 or g274 or g314 or g330 or g378 or g452 or g453 or g510 or g566 or g697 or g761 or g807 or g816 or g818 or g840 or g846 or g859 or g880 or g920 or g952 or g1026 or g1033 or g1125 or g1137 or g1183 or g1184 or g1202 or g1209 or g1211 or g1248 or g1257 or g1260 or g1267 or g1320 or g1321 or g1341 or g1345 or g1368 or g1369 or g1394 or g1396 or g1428 or g1458 or g1465 or g1470 or g1491 or g1497 )
g518    ( g332 or g426 or g427 or g563 or g625 or g670 or g803 or g889 or g998 or g1275 or g1334 or g1382 or g1421 )
g519    ( g80 or g234 or g409 or g467 or g611 or g729 or g1093 or g1285 or g1323 or g1385 )
g520    ( g186 or g1010 or g1140 or g1343 )
g521    ( g232 or g490 or g802 or g1149 or g1227 or g1454 or g1467 )
g522    ( g138 or g760 or g789 or g1217 or g1264 or g1370 or g1417 )
g523    ( g227 or g302 or g310 or g416 or g802 or g1021 or g1218 )
g524    ( g73 or g83 or g226 or g311 or g338 or g372 or g408 or g681 or g927 or g957 or g1001 or g1040 or g1107 or g1322 or g1433 or g1468 )
g525    ( g172 or g619 or g848 or g888 or g912 or g1193 or g1232 )
g526    ( g282 or g452 or g504 or g518 or g627 or g811 or g947 or g960 or g970 or g1025 or g1117 or g1255 or g1268 or g1318 or g1365 or g1472 )
g527    ( g922 or g933 )
g528    ( g460 or g513 or g732 or g980 or g992 or g1072 or g1129 or g1403 or g1428 or g1459 )
g529    ( g90 or g187 or g603 or g722 or g1032 )
g530    ( g155 or g292 or g444 or g874 or g981 or g1149 )
g531    ( g750 or g953 or g1386 )
g532    ( g50 or g247 or g276 or g689 or g853 or g933 or g1224 or g1300 )
g533    ( g76 or g93 or g228 or g239 or g441 or g599 or g602 or g622 or g754 or g791 or g861 or g864 or g919 or g975 or g1107 or g1238 or g1259 or g1302 or g1333 or g1348 or g1376 or g1459 )
g534    ( g58 or g132 or g144 or g275 or g281 or g350 or g486 or g577 or g583 or g726 or g806 or g848 or g919 or g1048 or g1083 or g1113 or g1228 or g1347 or g1388 or g1420 or g1446 or g1485 or g1490 or g1491 )
g535    ( g592 or g725 or g740 or g1035 or g1197 or g1445 or g1488 )
g536    ( g81 or g169 or g318 or g533 or g937 or g1053 or g1112 or g1200 )
g537    ( g1266 or g1329 or g1493 )
g538    ( g480 or g638 or g1047 or g1250 or g1452 )
g539    ( g176 or g235 or g520 or g650 or g899 or g1407 or g1497 )
g540    ( g1113 or g1239 or g1365 )
g541    ( g372 or g748 or g1204 )
g542    ( g506 or g773 or g1058 or g1147 or g1274 )
g543    ( g14 or g29 or g328 or g336 or g346 or g610 or g685 or g824 or g991 or g1483 )
g544    ( g77 or g101 or g138 or g142 or g216 or g220 or g262 or g337 or g395 or g424 or g454 or g456 or g518 or g573 or g603 or g639 or g690 or g731 or g797 or g800 or g831 or g994 or g1004 or g1026 or g1042 or g1045 or g1110 or g1173 or g1188 or g1248 or g1264 or g1348 or g1384 or g1394 or g1406 or g1419 or g1440 or g1444 or g1486 or g1496 )
g545    ( g1055 or g1248 )
g546    ( g180 or g303 or g593 or g1117 )
g547    ( g60 or g190 or g891 or g1107 or g1244 )
g548    ( g491 or g659 or g1229 )
g549    ( g191 or g304 or g332 or g352 or g539 or g960 or g1189 )
g550    ( g3 or g242 or g375 or g947 or g1158 )
g551    ( g125 or g207 or g556 or g942 or g1175 )
g552    ( g837 or g905 or g939 or g967 or g1054 or g1137 or g1266 or g1293 or g1419 )
g553    ( g93 or g689 or g1183 or g1250 or g1359 )
g554    ( g3 or g95 or g423 or g463 or g626 or g639 or g712 or g773 or g849 or g904 or g906 or g982 or g1125 or g1293 or g1320 or g1403 or g1491 or g1493 )
g555    ( g38 or g57 or g76 or g95 or g152 or g182 or g238 or g270 or g294 or g310 or g370 or g456 or g493 or g564 or g567 or g608 or g613 or g742 or g913 or g1107 or g1239 or g1298 or g1299 )
g556    ( g19 or g215 or g389 or g860 or g875 or g903 or g913 or g1306 or g1368 or g1479 )
g557    ( g238 or g896 or g949 or g1017 or g1033 )
g558    ( g516 or g704 or g1215 or g1278 )
g559    ( g189 or g240 or g670 or g873 or g1106 )
g560    ( g428 or g430 or g432 or g574 or g620 or g653 or g672 or g728 or g782 or g785 or g954 or g965 or g1035 or g1058 or g1157 or g1158 or g1188 or g1241 or g1308 or g1382 or g1387 or g1497 )
g561    ( g3 or g30 or g37 or g279 or g717 or g775 or g963 or g1050 or g1346 or g1384 )
g562    ( g167 or g351 or g627 or g1066 or g1156 or g1257 )
g563    ( g83 or g104 or g166 or g338 or g462 or g494 or g548 or g696 or g711 or g795 or g905 or g917 or g920 or g992 or g1100 or g1173 or g1273 or g1325 or g1385 or g1447 or g1448 )
g564    ( g63 or g66 or g79 or g351 or g363 or g368 or g412 or g455 or g547 or g563 or g671 or g864 or g888 or g976 or g986 or g1001 or g1092 or g1103 or g1211 or g1224 or g1310 or g1336 or g1404 or g1432 )
g565    ( g20 or g39 or g41 or g79 or g83 or g89 or g114 or g130 or g156 or g158 or g162 or g196 or g207 or g211 or g223 or g227 or g246 or g254 or g284 or g309 or g334 or g337 or g362 or g384 or g386 or g413 or g415 or g430 or g439 or g509 or g513 or g531 or g560 or g563 or g570 or g572 or g580 or g586 or g616 or g621 or g624 or g625 or g646 or g647 or g649 or g653 or g655 or g664 or g710 or g721 or g722 or g744 or g752 or g755 or g775 or g789 or g814 or g819 or g822 or g833 or g845 or g868 or g871 or g880 or g889 or g891 or g892 or g900 or g944 or g983 or g1007 or g1014 or g1015 or g1018 or g1048 or g1054 or g1093 or g1096 or g1098 or g1149 or g1155 or g1194 or g1196 or g1198 or g1214 or g1243 or g1267 or g1288 or g1292 or g1306 or g1310 or g1312 or g1329 or g1334 or g1381 or g1385 or g1416 or g1418 or g1425 or g1430 or g1483 or g1486 or g1499 )
g566    ( g340 or g709 or g1048 or g1455 or g1489 )
g567    ( g150 or g300 or g753 or g905 or g1257 )
g568    ( g3 or g8 or g9 or g45 or g59 or g60 or g104 or g110 or g111 or g159 or g176 or g183 or g216 or g219 or g271 or g280 or g306 or g339 or g358 or g388 or g390 or g411 or g420 or g423 or g428 or g471 or g473 or g475 or g491 or g510 or g578 or g629 or g630 or g645 or g666 or g707 or g719 or g728 or g745 or g750 or g801 or g808 or g810 or g821 or g829 or g831 or g848 or g871 or g882 or g903 or g907 or g921 or g926 or g943 or g957 or g972 or g981 or g995 or g1028 or g1039 or g1040 or g1050 or g1052 or g1058 or g1064 or g1082 or g1090 or g1091 or g1097 or g1108 or g1117 or g1138 or g1142 or g1144 or g1145 or g1159 or g1181 or g1182 or g1201 or g1221 or g1255 or g1258 or g1260 or g1290 or g1309 or g1316 or g1324 or g1331 or g1349 or g1352 or g1358 or g1374 or g1386 or g1401 or g1423 or g1428 or g1430 or g1435 or g1437 or g1442 or g1443 or g1449 or g1450 or g1453 or g1454 or g1468 or g1470 or g1482 or g1483 or g1494 )
g569    ( g3 or g8 or g11 or g18 or g20 or g35 or g36 or g52 or g65 or g68 or g73 or g89 or g95 or g106 or g112 or g115 or g118 or g121 or g123 or g138 or g149 or g151 or g156 or g162 or g186 or g192 or g217 or g221 or g229 or g231 or g233 or g234 or g248 or g257 or g258 or g264 or g267 or g268 or g271 or g310 or g314 or g324 or g325 or g331 or g335 or g339 or g353 or g357 or g363 or g370 or g372 or g376 or g386 or g389 or g407 or g410 or g416 or g423 or g427 or g436 or g437 or g447 or g450 or g452 or g453 or g458 or g467 or g482 or g485 or g494 or g509 or g510 or g511 or g512 or g513 or g516 or g518 or g529 or g533 or g535 or g540 or g543 or g568 or g571 or g572 or g578 or g584 or g588 or g590 or g607 or g614 or g618 or g625 or g634 or g637 or g646 or g650 or g658 or g659 or g662 or g663 or g664 or g665 or g673 or g679 or g690 or g694 or g697 or g710 or g722 or g723 or g739 or g741 or g752 or g753 or g760 or g761 or g765 or g768 or g770 or g773 or g779 or g784 or g789 or g790 or g792 or g802 or g809 or g816 or g828 or g833 or g840 or g842 or g846 or g852 or g864 or g869 or g871 or g877 or g886 or g887 or g891 or g896 or g897 or g900 or g905 or g909 or g924 or g926 or g931 or g949 or g955 or g960 or g962 or g970 or g973 or g979 or g981 or g994 or g995 or g1000 or g1002 or g1004 or g1006 or g1007 or g1009 or g1024 or g1033 or g1040 or g1051 or g1052 or g1055 or g1063 or g1065 or g1067 or g1070 or g1073 or g1075 or g1079 or g1092 or g1100 or g1109 or g1116 or g1124 or g1126 or g1131 or g1136 or g1146 or g1155 or g1156 or g1159 or g1161 or g1164 or g1165 or g1170 or g1188 or g1201 or g1205 or g1209 or g1211 or g1224 or g1235 or g1236 or g1237 or g1242 or g1243 or g1245 or g1249 or g1258 or g1269 or g1271 or g1274 or g1290 or g1291 or g1292 or g1294 or g1295 or g1302 or g1322 or g1334 or g1337 or g1345 or g1348 or g1353 or g1354 or g1356 or g1361 or g1364 or g1365 or g1368 or g1376 or g1380 or g1381 or g1387 or g1391 or g1398 or g1400 or g1401 or g1402 or g1408 or g1414 or g1428 or g1440 or g1442 or g1443 or g1447 or g1449 or g1450 or g1452 or g1453 or g1458 or g1459 or g1460 or g1466 or g1467 or g1469 or g1474 or g1476 or g1480 or g1484 or g1487 or g1490 or g1491 or g1496 or g1497 or g1500 )
g570    ( g61 or g139 or g468 or g588 or g844 or g1172 or g1182 or g1287 or g1370 or g1436 )
g571    ( g106 or g167 or g201 or g424 or g445 or g456 or g500 or g525 or g696 or g745 or g755 or g767 or g826 or g1036 or g1066 or g1078 or g1088 or g1125 or g1206 or g1237 or g1318 or g1325 or g1403 or g1430 or g1479 or g1482 )
g572    ( g757 or g862 or g1224 or g1426 )
g573    ( g15 or g173 or g553 or g577 or g582 or g587 or g592 or g699 or g750 or g762 or g793 or g990 or g1094 or g1194 or g1255 or g1378 )
g574    ( g66 or g262 or g368 or g518 or g764 or g1430 )
g575    ( g897 or g917 or g1106 or g1326 or g1330 or g1339 or g1398 )
g576    ( g31 or g55 or g105 or g120 or g121 or g143 or g188 or g250 or g338 or g354 or g385 or g431 or g465 or g490 or g513 or g558 or g692 or g701 or g794 or g824 or g1030 or g1051 or g1095 or g1179 or g1218 or g1314 or g1338 or g1371 or g1426 or g1433 or g1441 or g1446 or g1487 or g1490 )
g577    ( g23 or g232 or g359 or g729 or g1067 or g1127 )
g578    ( g725 or g941 or g1170 or g1335 )
g579    ( g261 or g427 or g520 or g545 or g549 or g1376 )
g580    ( g57 or g292 or g485 or g722 or g1217 or g1498 )
g581    ( g129 or g553 or g1487 )
